Cell line	Cetuximab (EGFR)			Trastuzumab (ERBB2)			PS-1145 (IKK)			Baicalein (CYP2C9)			GW5074 (RAF1)			IKK 16 (IKK2)			Imatinib (BCR-ABL)			QNZ (NFkB)			FR180304 (ERK)			Everolimus (mTOR)			B581 (FTPase)			MG-132 (Proteasome)			Nilontinib (BCR-ABL)			Olomoucine II (CDK1)			PD184352 (MEK)			TCS PIM-11 (PIM1)			Valproate (HDAC)			Nelfinavir (Protease)			Disulfiram (ALDH2)			Mebendazole (Tubulin)			Chloroquine (Autophagy)			Bromopyruvate (Glycolysis)			Methylglyoxol (Pyruvate)			MG-132b (Proteasome)			MG-115 (Proteasome)			4-HC (DNA alkylator)			4-HC+Dox (Combination)			Doxorubicin (TOP2A)		
CAMA1	6.164309429	2	0	5.142667504	1	NA	2.723538196	2	0	4.393403691	2	0.07809415	NA	NA	NA	5.567030709	1	NA	4.713319031	2	0.075911761	NA	NA	NA	4	1	NA	8.151810883	1	NA	4.477555766	3	0	6.694004117	2	0.051538391	3.698970004	2	0	5.300769497	2	0.341236623	4.175874166	1	NA	3.876148359	2	0	2.790860464	2	0.13001195	5.370590401	1	NA	4.850780887	1	NA	6.325138859	1	NA	4.903089987	1	NA	6.982966661	1	NA	2.696803943	1	NA	6.554395797	1	NA	6.35261703	1	NA	4.716698771	1	NA	4.850780887	1	NA	6.946921557	1	NA
HCC1143	6.164309429	3	0	5.142667504	1	NA	2.723538196	1	NA	4.15490196	1	NA	4.477555766	1	NA	5.300162274	1	NA	4.534617149	1	NA	4.477555766	1	NA	4.596879479	1	NA	5.832682665	1	NA	4.477555766	1	NA	6.801342913	1	NA	3.698970004	1	NA	5.508638306	1	NA	4.477555766	1	NA	3.876148359	1	NA	2.655607726	1	NA	5.134896025	1	NA	6.946921557	1	NA	6.014124643	1	NA	NA	NA	NA	NA	NA	NA	3.385946894	2	0.514282048	6.447331784	1	NA	6.301029996	1	NA	4.910094889	1	NA	4.946921557	1	NA	6.954677021	1	NA
HCC1187	6.164309429	2	0	NA	NA	NA	2.723538196	3	0	4.93930216	3	0.20790353	NA	NA	NA	5.252199909	2	0.026533265	4.598599459	3	0.184975191	NA	NA	NA	4.70092874	2	0.315970345	NA	NA	NA	4.477555766	2	0	7.102372909	1	NA	3.761953897	1	NA	5.1837587	1	NA	4.175874166	1	NA	4.416801226	1	NA	2.777283529	1	NA	5.227678293	1	NA	6.485452247	1	NA	6.630784143	1	NA	NA	NA	NA	NA	NA	NA	5.372634143	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HCC1395	6.164309429	4	0	5.142667504	2	0	2.723538196	2	0	4.729787145	2	0.082066934	4.477555766	1	NA	5.8569852	1	NA	4.769040444	2	0.184691431	7.478861916	1	NA	4.558461961	2	0.1775365	4.980053318	2	0.057666104	4.175874166	1	NA	6.642065153	2	0.010723865	3.698970004	2	0	5.718512112	2	0.113274692	4.477555766	2	0	3.876148359	2	0	2.469403341	2	0.020775488	4.477555766	1	NA	4.175874166	1	NA	6.334419009	1	NA	NA	NA	NA	NA	NA	NA	2.93930216	1	NA	6.501689446	1	NA	NA	NA	NA	4.590066877	1	NA	4.600326279	1	NA	6.665546249	1	NA
HCC1419	6.164309429	5	0	5.59345982	2	0.637589786	2.723538196	2	0	NA	NA	NA	4.477555766	1	NA	5.359518563	3	0.190051418	4.744968837	2	0.068185862	NA	NA	NA	4.879426069	1	NA	8.401209493	1	NA	4.175874166	1	NA	6.804100348	1	NA	3.698970004	1	NA	5.355561411	1	NA	4.477555766	1	NA	4.305394801	1	NA	2.928117993	1	NA	5.655607726	1	NA	4.175874166	1	NA	4.721246399	1	NA	5.175223538	1	NA	6.425968732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HCC1428	6.164309429	2	0	5.142667504	1	NA	2.723538196	3	0	4.410050399	3	0.169968174	NA	NA	NA	5.402085529	2	0.022428371	4.798876103	4	0.047664195	7.231361899	1	NA	4.563837353	1	NA	5.057000407	1	NA	4.477555766	2	0	6.463567824	2	0.11991541	3.698970004	2	0	5.295077709	2	0.095169351	4.175874166	1	NA	4.087246696	1	NA	3.134363112	2	0.06069784	5.164943898	1	NA	4.966576245	1	NA	4.175874166	1	NA	NA	NA	NA	NA	NA	NA	2.860750782	2	0.132579848	NA	NA	NA	NA	NA	NA	5.079354999	1	NA	5.014124643	1	NA	6.262807357	1	NA
HCC1569	6.164309429	4	0	5.142667504	2	0	2.723538196	2	0	4.328827157	3	0.320769228	NA	NA	NA	5.484126156	1	NA	4.751781439	2	0.039810554	NA	NA	NA	4	1	NA	5.145086978	1	NA	4.175874166	1	NA	6.680477551	2	0.290702243	3.698970004	2	0	5.282246307	2	0.064457989	4.477555766	2	0	4.32670256	2	0.637189422	2.767741038	2	0.035829825	4.477555766	1	NA	4.175874166	1	NA	5.314258261	1	NA	NA	NA	NA	7.388276692	1	NA	2.980053318	2	0.046885191	6.607303047	1	NA	6.341988603	1	NA	4.490797478	1	NA	4.576754126	1	NA	6.48945499	1	NA
HCC1806	6.164309429	3	0	5.142667504	1	NA	2.723538196	2	0	4.727926212	2	0.395151592	4.477555766	1	NA	5.987162775	1	NA	5.153662888	1	NA	4.477555766	1	NA	NA	NA	NA	4.605548319	1	NA	4.477555766	1	NA	6.501689446	1	NA	3.698970004	1	NA	5.057991947	1	NA	4.477555766	1	NA	3.876148359	1	NA	2.575118363	1	NA	5.111259039	1	NA	NA	NA	NA	6.496209317	1	NA	5.219682688	1	NA	6.966576245	1	NA	4.293282218	1	NA	6.316142795	2	0.17868924	5.872895202	3	0.103461622	4.728158393	3	0.129689892	4.91721463	3	0.810299741	7.284832642	3	0.179551791
HCC1937	6.164309429	3	0.05422991	NA	NA	NA	2.723538196	1	NA	4.460923901	1	NA	4.477555766	1	NA	5.591760035	1	NA	4.688246139	1	NA	NA	NA	NA	4	1	NA	6.100726813	1	NA	4.477555766	1	NA	6.821023053	1	NA	3.698970004	1	NA	5.197910742	1	NA	4.477555766	1	NA	3.876148359	1	NA	2.563837353	1	NA	5.145693958	1	NA	6.88941029	1	NA	4.896196279	1	NA	NA	NA	NA	NA	NA	NA	3.56035157	2	0.432969291	NA	NA	NA	NA	NA	NA	5.01188716	1	NA	4.995678626	1	NA	6.721246399	1	NA
HCC1954	6.411504199	4	1.30144238	5.142667504	1	NA	2.723538196	4	0	3.777283529	5	0.224274014	NA	NA	NA	5.76700389	3	0.061075324	5.044600913	4	0.181271772	NA	NA	NA	4.477555766	1	NA	NA	NA	NA	4.477555766	1	NA	NA	NA	NA	3.698970004	1	NA	4.950781977	1	NA	4.804100348	1	NA	4.522878745	1	NA	2.519993057	1	NA	5.013676223	1	NA	4.175874166	1	NA	6.818156412	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.350665141	1	NA	6.168770306	1	NA	4.832682665	1	NA	5.032452024	1	NA	7.195860568	1	NA
HCC202	6.164309429	2	0	NA	NA	NA	2.723538196	2	0	4.405828521	2	0.310268367	NA	NA	NA	5.095988116	2	0.035029282	4.950781977	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.344861565	1	NA	4.835647144	1	NA	6.684029655	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.970616222	1	NA	6.679853714	1	NA	4.779891912	1	NA	4.950781977	1	NA	6.539102157	1	NA
HCC2185	6.164309429	4	0.026941628	5.785156152	1	NA	2.723538196	3	0	4.298950369	2	0.304490528	5.149353765	1	NA	5.131943638	1	NA	4.815308569	3	0.009875634	8.872895202	1	NA	4	1	NA	7.931814138	2	0.054995862	4.477555766	2	0	6.658169943	2	0.294686624	3.698970004	2	0	5.105739336	2	0.024074987	4.477555766	2	0	4.32670256	2	0.637189422	2.880810118	2	0.436957331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HCC3153	6.164309429	1	NA	NA	NA	NA	2.723538196	3	0	4.687188174	4	0.10754913	4.477555766	1	NA	5.48148606	3	0.260786669	4.521433504	3	0.043755127	6.381951903	1	NA	4.477555766	2	0	4.847711656	1	NA	4.477555766	2	0	6.845271793	2	0.225050696	3.698970004	2	0	5.508638306	1	NA	4.477555766	1	NA	3.876148359	1	NA	2.55442693	2	0.006466042	5.2069084	3	0.127752516	5.126098402	3	0.782615932	6.68613278	3	0.412964272	NA	NA	NA	NA	NA	NA	3.769551079	1	NA	6.832682665	1	NA	6.301029996	1	NA	4.749579998	1	NA	4.832682665	1	NA	6.954677021	1	NA
HCC38	6.164309429	5	0	5.142667504	1	NA	2.723538196	3	0	4.519993057	3	0.383994789	NA	NA	NA	5.450996738	3	0.083144143	4.452225295	2	0.056523724	7.129596095	1	NA	4.235077015	1	NA	6.246416941	1	NA	4.477555766	2	0	6.597051171	2	0.08849047	4.030258023	2	0.468495025	5.534617149	1	NA	4.477555766	1	NA	3.950781977	2	0.105510185	3.05232126	2	0.001733713	4.777283529	1	NA	5.958607315	1	NA	6.478861916	1	NA	4.866461092	1	NA	6.879426069	1	NA	NA	NA	NA	6.525783736	1	NA	6.264880366	2	0.008600172	6.431798276	1	NA	6.180456064	3	1.404183498	8.233587153	1	NA
HCC70	6.164309429	4	0	NA	NA	NA	2.723538196	1	NA	4.305394801	1	NA	4.477555766	1	NA	5.539102157	1	NA	4.76700389	1	NA	7.258848401	1	NA	4.539102157	1	NA	6.957424488	2	0.036229544	4.175874166	1	NA	7.189498652	2	0.049992857	3.698970004	2	0	5.470441327	2	0.006466042	4.905528871	2	0.605197267	4.468521083	2	0.83777777	2.987289287	2	0.104145551	4.754487332	1	NA	4.175874166	1	NA	6.8569852	1	NA	NA	NA	NA	NA	NA	NA	2.943095149	1	NA	7.041914151	1	NA	6.671620397	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HS578T	6.164309429	4	0	NA	NA	NA	2.723538196	5	0	4.318758763	3	0.336259552	NA	NA	NA	5.525783736	1	NA	4.096367484	3	0.316599302	NA	NA	NA	4.477555766	1	NA	NA	NA	NA	4.477555766	1	NA	6.638272164	1	NA	3.698970004	1	NA	5.179798541	1	NA	4.175874166	1	NA	4.175874166	1	NA	2.32330639	1	NA	5.069050969	1	NA	5.435333936	1	NA	6.455931956	1	NA	5.343901798	1	NA	6.649751982	1	NA	3.661543506	1	NA	6.645891561	2	0.008174184	6.25266589	2	0.038620162	4.785156152	2	0.347915187	4.951558196	2	0.267875419	6.912573543	2	0.117271296
LY2	6.164309429	2	0	5.142667504	1	NA	2.723538196	1	NA	4.191653964	2	0.464340485	NA	NA	NA	5.263603498	1	NA	4.650722473	2	0.009450896	NA	NA	NA	NA	NA	NA	7.517126416	1	NA	NA	NA	NA	6.495257364	2	0.088136089	3.698970004	1	NA	5.463946845	2	0.225567713	4.477555766	2	0	3.876148359	1	NA	2.959714201	2	0.395850376	5.055024092	1	NA	5.008330993	1	NA	6.315154638	1	NA	5.090979146	1	NA	6.655607726	1	NA	NA	NA	NA	6.148130399	1	NA	5.614393726	1	NA	4.343901798	1	NA	4.010105436	1	NA	6.462180905	1	NA
MCF10A	6.282246307	4	0.254548077	5.142667504	1	NA	2.723538196	3	0	4.710411047	2	0.160468531	4.4867824	1	NA	5.559090918	1	NA	4.363512104	3	0.182414652	4.477555766	1	NA	4.477555766	1	NA	6.081969663	1	NA	4.477555766	1	NA	7.205511953	1	NA	3.698970004	1	NA	5.514278574	1	NA	5.872895202	1	NA	4.567030709	1	NA	2.970616222	1	NA	4.896196279	1	NA	4.931814138	1	NA	5.49757288	1	NA	NA	NA	NA	7.838631998	1	NA	3.301899454	1	NA	7.193820026	1	NA	6.903089987	1	NA	5.021363052	1	NA	5.11407366	1	NA	7.007446482	1	NA
MCF10F	6.164309429	4	0	5.212468684	2	0.098643726	2.723538196	1	NA	3.777283529	2	0	NA	NA	NA	5.369572125	1	NA	4.715118285	2	0.469674773	NA	NA	NA	4.093126465	1	NA	6.002613616	1	NA	4.477555766	1	NA	7.135488919	1	NA	3.698970004	1	NA	5.034798299	1	NA	4.477555766	1	NA	3.876148359	1	NA	2.4225082	1	NA	4.987162775	1	NA	4.175874166	1	NA	5.450996738	1	NA	NA	NA	NA	NA	NA	NA	3.603800653	1	NA	7.137868621	1	NA	6.640164518	1	NA	4.49757288	1	NA	4.437707136	1	NA	6.435333936	1	NA
MCF12A	6.164309429	3	0	5.142667504	2	0	2.723538196	1	NA	4.779891912	2	0.32756326	4.477555766	1	NA	5.393618635	1	NA	4.373351732	2	0.158663981	4.477555766	1	NA	4	1	NA	4.869666232	1	NA	4.175874166	1	NA	7.314975215	2	0.176958981	3.698970004	2	0	5.217814134	2	0.033825694	4.986741335	2	0.137670537	4.363512104	2	0.689131197	2.742753535	2	0.027349608	4.643974143	1	NA	4.966576245	1	NA	5.742321425	1	NA	4.89279003	1	NA	7.443697499	1	NA	3.294136288	1	NA	7.315064917	2	0.451786436	7.002657309	2	0.465234095	5.099796787	2	0.08849047	5.242983765	2	0.006037955	7.254066842	2	0.023663918
MCF7	6.164309429	3	0	5.142667504	1	NA	2.723538196	2	0	4.301029996	1	NA	4.477555766	1	NA	NA	NA	NA	4.818442226	2	0.124504225	6.485452247	1	NA	4.477555766	1	NA	6.463441557	1	NA	4.477555766	1	NA	6.4710833	1	NA	3.698970004	1	NA	5.229884705	1	NA	4.477555766	1	NA	3.876148359	1	NA	2.642065153	1	NA	4.804100348	1	NA	4.452225295	1	NA	6.216811309	1	NA	5.071604148	1	NA	6.485452247	1	NA	2.962573502	1	NA	6.386158178	1	NA	5.754487332	1	NA	4.743763467	2	0.43264866	4.831502516	2	0.350635608	6.609064893	2	0.494293769
MDAMB134VI	6.164309429	3	0	5.142667504	1	NA	2.723538196	2	0	4.066462098	2	0.300595484	NA	NA	NA	5.259795264	2	0.070776463	4.4710833	1	NA	NA	NA	NA	4	1	NA	7.265600257	2	0.006037955	4.477555766	3	0	6.634886568	2	0.190331698	3.698970004	2	0	5.23462952	2	0.02325246	4.477555766	2	0	3.876148359	3	0.28780173	3.115884638	2	0.078456818	5.057495894	1	NA	5.876148359	1	NA	NA	NA	NA	4.863279433	1	NA	6.42136079	1	NA	2.596879479	1	NA	NA	NA	NA	NA	NA	NA	3.970616222	2	0.005609445	3.970616222	2	0	6.39815721	2	0.021602716
MDAMB157	6.164309429	1	NA	NA	NA	NA	2.723538196	3	0	4.275642196	2	0.159266331	4.477555766	1	NA	5.742321425	1	NA	4.763210901	2	0.001733713	4.931814138	1	NA	4	1	NA	4.625251654	1	NA	4.175874166	1	NA	6.764471553	1	NA	3.698970004	1	NA	5.227678293	1	NA	NA	NA	NA	3.876148359	1	NA	2.675717545	1	NA	5.085128182	1	NA	7.220403509	1	NA	6.300162274	1	NA	5.777283529	1	NA	7.288192771	1	NA	3.326979093	1	NA	6.838631998	1	NA	6.333294864	2	0.02325246	5.326426204	2	0.514680544	5.217599048	2	0.487421211	7.241845378	2	0.252367514
MDAMB175VII	6.164309429	3	0	NA	NA	NA	2.765229705	2	0.058805487	4.376543952	2	0.58546073	NA	NA	NA	NA	NA	NA	5.012870232	2	0.220369632	NA	NA	NA	5.082231998	2	0.030194785	5.104577454	1	NA	4.477555766	3	0	6.655607726	3	0.193402903	3.698970004	2	0	5.143875556	3	0.095866453	4.501413791	2	0.044931546	3.876148359	2	0	2.962573502	3	0.335858911	5.150580586	1	NA	7.018181393	1	NA	6.602059991	1	NA	NA	NA	NA	NA	NA	NA	2.585026652	1	NA	6.59722293	2	0.211921084	6.168130226	2	0.354876423	5.083388155	2	0.05804623	5.114582235	2	0.108226656	6.973058372	2	0.026124517
MDAMB231	6.164309429	3	0.322839273	5.142667504	1	NA	2.723538196	3	0	4.747146969	1	NA	NA	NA	NA	5.439256699	2	0.581949658	4.816730156	2	0.014100322	4.477555766	1	NA	NA	NA	NA	4.266802735	1	NA	4.175874166	1	NA	6.59345982	1	NA	3.698970004	1	NA	5.166215625	1	NA	4.477555766	1	NA	3.876148359	1	NA	2.159893906	2	0.423900919	4.906578315	1	NA	5.850780887	1	NA	6.460923901	1	NA	5.2915791	1	NA	6.946921557	1	NA	3.030584088	1	NA	NA	NA	NA	5.946921557	1	NA	4.931814138	1	NA	5.208309351	1	NA	7.379863945	1	NA
MDAMB361	6.164309429	3	0	NA	NA	NA	2.723538196	3	0	3.777283529	3	0	4.477555766	1	NA	5.241769592	2	0.242789809	4.566550206	4	0.666892211	4.477555766	1	NA	4.66756154	1	NA	8.351639989	1	NA	4.175874166	1	NA	6.617982957	3	0.258876629	3.698970004	3	0	5.008685302	2	0.042181595	4.175874166	1	NA	3.876148359	3	0	2.821023053	3	0.307923704	4.971022295	2	0.165541077	6.5592483	2	0.849419414	6.236122969	2	0.795462894	4.903089987	1	NA	6.68613278	1	NA	2.882728704	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MDAMB415	6.164309429	2	0	5.142667504	1	NA	2.723538196	3	0	3.777283529	2	0	NA	NA	NA	NA	NA	NA	4.638272164	3	0.333850145	NA	NA	NA	4	1	NA	8.118216044	2	1.006209241	4.175874166	1	NA	7.082862247	2	0.636788689	3.698970004	1	NA	5.321663753	2	0.06483222	4.477555766	1	NA	3.876148359	1	NA	3.064744718	2	0.046885191	5.248336054	2	0.04453976	4.887730232	2	0.002166062	6.279509932	2	0.190891717	5.167491087	1	NA	7.319664487	1	NA	NA	NA	NA	5.778846678	2	0.151676231	5.616184634	2	0.007747778	4.721246399	3	0.199206479	4.896196279	3	0.217483944	6.747146969	3	0.055378331
MDAMB453	6.164309429	3	0	6.854182286	2	2.420259483	2.723538196	3	0	3.800519085	2	0.033021445	4.477555766	1	NA	5.55129368	3	0.08170727	4.9476909	4	0.200576927	NA	NA	NA	4	1	NA	7.588380294	1	NA	4.175874166	1	NA	6.407823243	1	NA	3.698970004	1	NA	5.312471039	1	NA	4.477555766	1	NA	3.876148359	1	NA	3.14691047	1	NA	5.203425667	2	0.181271772	6.838631998	1	NA	6.74641971	2	0.278067331	5.756961951	1	NA	7.07007044	1	NA	2.987162775	1	NA	6.671620397	1	NA	6.258060922	1	NA	5.406713933	1	NA	5.411168274	1	NA	6.847711656	1	NA
MX1	NA	NA	NA	NA	NA	NA	2.723538196	1	NA	4.662141571	2	0.232742063	NA	NA	NA	NA	NA	NA	4.649751982	1	NA	NA	NA	NA	4.477555766	2	0	5.331614083	2	0.179264464	4.477555766	2	0	6.876148359	3	0.266936911	3.698970004	3	0.984707294	5.235077015	3	0.721810615	5.017276612	3	0.120902818	4.730487056	3	0.235023159	3.448550002	3	0.646109522	5.151810883	1	NA	4.542118103	1	NA	6.424812155	1	NA	5.005243055	1	NA	7.494850022	1	NA	3.284832642	1	NA	6.400881435	2	0.057285644	6.046965543	2	0.019946682	5.232547282	2	0.647480773	5.112945622	1	NA	6.806597097	2	0.041392685
SKBR3	6.164309429	4	0	6.374996399	2	1.742764397	2.723538196	2	0	3.958607315	1	NA	4.477555766	1	NA	5.525783736	1	NA	4.631713115	2	0.011993115	6.655607726	1	NA	4	1	NA	6.844663963	1	NA	4.477555766	1	NA	6.575118363	1	NA	3.698970004	1	NA	4.962573502	1	NA	4.477555766	1	NA	3.876148359	1	NA	3.037630664	1	NA	5.089909454	1	NA	7.095825632	1	NA	6.490797478	1	NA	NA	NA	NA	NA	NA	NA	3.12090412	1	NA	6.356547324	1	NA	6.059981845	1	NA	4.903089987	1	NA	4.987162775	1	NA	7.084600165	1	NA
SUM1315MO2	6.906578315	1	NA	NA	NA	NA	2.723538196	2	0	4.547753425	2	0.313656347	NA	NA	NA	5.812479279	1	NA	4.632644079	3	0.030194785	NA	NA	NA	4.711750774	2	0.142702246	5.22562904	2	0.084933575	4.175874166	1	NA	6.915781313	2	0.06069784	3.698970004	2	0	5.475084852	2	0.035829825	4.596022036	2	0.167612673	4.751781439	2	0.219060332	2.616382085	2	0.080987047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.221993539	2	0.067814511	6.943095149	1	NA	6.931814138	1	NA	5.330683119	1	NA	5.527243551	1	NA	7.563837353	1	NA
